% Model:              Sph.mph
% Version:            COMSOL 6.1.0.282
% Date:               Jan 27 2025, 17:23
% Dimension:          3
% Nodes:              8372
% Expressions:        3
% Description:        magnetization deviation, X component, magnetization deviation, Y component, magnetization deviation, Z component
% Length unit:        nm
% x                       y                        z                        dm2X (1) @ lambda=2E-9                            dm2Y (1) @ lambda=2E-9                            dm2Z (1) @ lambda=2E-9
2.359277665430792E-7      1.512797680264062E-7     2.440100745593765E-7     0.031040458617880712+0.012113806400739002i        0.012113806400725655-0.03104045861787191i         0
2.285759908048839E-7      1.7388081996524476E-7    2.5980182476728986E-7    0.031040459765172623+0.012113806848479534i        0.012113806848466215-0.031040459765163654i        0
2.1142885579148263E-7     1.61299172602331E-7      2.8157197049219565E-7    0.031040461597479956+0.01211380756355326i         0.012113807563539913-0.031040461597471265i        0
1.741150712908984E-7      1.0573093018488254E-7    3.2911638332636257E-7    0.03104046577450916+0.01211380919367492i          0.012113809193661548-0.031040465774500137i        0
1.8346966390082368E-7     1.7636501100627095E-7    2.9151651623603586E-7    0.031040462242288284+0.012113807815195228i        0.012113807815181881-0.031040462242279538i        0
2.400341338055786E-7      3.0247976129131636E-7    2.244395619560589E-8     0.031040439295846687+0.012113798860148715i        0.012113798860135397-0.03104043929583783i         0
2.1629665655664805E-7     3.187919271737745E-7     3.729464715631538E-8     0.03104044035328099+0.012113799272821576i         0.01211379927280826-0.031040440353272077i         0
2.2929467971245086E-7     2.0380806329783106E-7    2.3323239048572556E-7    0.031040457375366676+0.012113805915837193i        0.01211380591582382-0.031040457375357874i         0
2.1865684153049706E-7     1.849391828396584E-7     2.4177235252765535E-7    0.03104045816878164+0.01211380622547414i          0.012113806225460823-0.03104045816877273i         0
2.476598105207688E-7      2.088325703091282E-7     2.0835291154676224E-7    0.031040455335804355+0.012113805119880432i        0.012113805119867087-0.031040455335795664i        0
2.2600861726869236E-7     1.6233813090081983E-7    2.2598060231974202E-7    0.031040457021488672+0.012113805777733192i        0.012113805777719902-0.031040457021479985i        0
2.837431156955978E-7      1.6234110451985707E-7    1.974421988150667E-7     0.031040454831793147+0.012113804923185565i        0.012113804923172274-0.031040454831784234i        0
2.494039836509466E-7      1.8974223360653007E-7    1.9549180212010473E-7    0.03104045439249894+0.0121138047517474i           0.012113804751734-0.03104045439249003i            0
2.755081401586102E-7      1.8838185176690497E-7    1.8626810054146515E-7    0.031040453716392212+0.012113804487890829i        0.01211380448787754-0.031040453716383243i         0
2.631570982773557E-7      1.4815682264067133E-7    2.0728991472657817E-7    0.031040455673678493+0.012113805251738684i        0.012113805251725365-0.031040455673669694i        0
2.882510965076822E-7      1.4317043268549197E-7    1.776284730176016E-7     0.031040453320417178+0.012113804333358187i        0.012113804333344814-0.031040453320408376i        0
2.8134564617332994E-7     1.874145826317584E-7     1.5970677025980285E-7    0.03104045153561309+0.012113803636822941i         0.012113803636809679-0.031040451535604287i        0
2.3839062858082392E-7     1.6211667465639432E-7    2.0457953085115467E-7    0.031040455284768852+0.012113805099963354i        0.012113805099950008-0.03104045528475994i         0
2.8262328422137574E-7     1.5793301360135671E-7    1.5482725008140055E-7    0.031040451318166275+0.012113803551962524i        0.012113803551949095-0.03104045131815736i         0
2.6766507908944E-7        1.2898615080630623E-7    1.874761889291131E-7     0.031040454162302854+0.012113804661911304i        0.012113804661897931-0.031040454162293885i        0
2.849800844422837E-7      2.361113945359111E-7     9.265307371618671E-8     0.031040445677213143+0.012113801350531906i        0.012113801350518559-0.03104044567720412i         0
3.0415281036813175E-7     2.161626291054441E-7     7.829053981186563E-8     0.03104044466877088+0.012113800956978754i         0.01211380095696538-0.031040444668762077i         0
